Date,Tos,Hos,Tug,Hog,Tug12,Hug12
11/10/24 4:39 PM,23.1,90,23.2,99,25,79
11/10/24 4:49 PM,22.9,91,23.1,99,25,79
11/10/24 4:59 PM,22.6,92,23.1,99,25,79
11/10/24 5:09 PM,22.4,93,23,99,25,79
11/10/24 5:19 PM,22.2,93,22.9,99,25,79
11/10/24 5:29 PM,22,94,22.8,99,25,79
11/10/24 5:39 PM,21.9,94,22.8,99,25,79
11/10/24 5:49 PM,21.8,94,22.7,99,25,79
11/10/24 5:59 PM,21.6,95,22.6,99,25,79
11/10/24 6:09 PM,21.6,95,22.6,99,25,79
11/10/24 6:19 PM,21.5,95,22.6,99,25,79
11/10/24 6:29 PM,21.4,95,22.5,99,25,79
11/10/24 6:39 PM,21.4,96,22.5,99,25,79
11/10/24 6:49 PM,21.3,96,22.5,99,25,79
11/10/24 6:59 PM,21.3,96,22.5,99,25,79
11/10/24 7:09 PM,21.3,96,22.5,99,25,79
11/10/24 7:19 PM,21.3,96,22.4,99,25,79
11/10/24 7:29 PM,21.2,96,22.4,99,25,79
11/10/24 7:39 PM,21.1,97,22.4,99,25,79
11/10/24 7:49 PM,21.1,97,22.3,99,25,79
11/10/24 7:59 PM,21,97,22.3,99,25,79
11/10/24 8:09 PM,21,97,22.3,99,25,79
11/10/24 8:19 PM,20.9,97,22.3,99,25,79
11/10/24 8:29 PM,20.9,98,22.2,99,25,79
11/10/24 8:39 PM,21,98,22.3,99,25,79
11/10/24 8:49 PM,20.9,99,22.3,99,25,79
11/10/24 8:59 PM,20.9,99,22.3,99,25,79
11/10/24 9:09 PM,20.9,99,22.3,99,25,79
11/10/24 9:19 PM,20.8,99,22.2,99,24.9,79
11/10/24 9:29 PM,20.9,99,22.3,99,24.9,79
11/10/24 9:39 PM,20.9,99,22.3,99,24.9,79
11/10/24 9:49 PM,20.9,99,22.3,99,24.9,79
11/10/24 9:59 PM,20.9,99,22.3,99,24.9,79
11/10/24 10:09 PM,20.9,99,22.3,99,24.9,79
11/10/24 10:19 PM,20.8,99,22.3,99,24.9,79
11/10/24 10:29 PM,20.8,99,22.2,99,24.9,79
11/10/24 10:39 PM,20.8,99,22.2,99,24.9,79
11/10/24 10:49 PM,20.7,99,22.2,99,24.9,79
11/10/24 10:59 PM,20.7,99,22.2,99,24.9,79
11/10/24 11:09 PM,20.7,99,22.2,99,24.9,79
11/10/24 11:19 PM,20.7,99,22.2,99,24.9,79
11/10/24 11:29 PM,20.7,99,22.2,99,24.9,79
11/10/24 11:39 PM,20.7,99,22.2,99,24.9,79
11/10/24 11:49 PM,20.7,99,22.2,99,24.9,79
11/10/24 11:59 PM,20.6,99,22.2,99,24.9,79
11/11/24 12:09 AM,20.7,99,22.2,99,24.9,79
11/11/24 12:19 AM,20.6,99,22.2,99,24.9,79
11/11/24 12:29 AM,20.6,99,22.2,99,24.9,79
11/11/24 12:39 AM,20.7,99,22.2,99,24.9,79
11/11/24 12:49 AM,20.6,99,22.1,99,24.9,79
